"Update CNAME test domains","PineappleIOnic","2022-05-30T14:46:16Z"
"fix: increase subquery limit","TorstenDittmann","2022-05-30T12:47:22Z"
"Bypass SMTP host check for admins adding team members","stnguyen90","2022-05-27T05:49:26Z"
"Update success, loading, and error message for add team member","stnguyen90","2022-05-27T05:36:22Z"
"Refactor `web.php`","everly-gif","2022-05-26T14:51:13Z"
"Refactor `api.php`","everly-gif","2022-05-26T14:50:33Z"
"Refactor `console.php`","everly-gif","2022-05-26T14:49:49Z"
"Refactor `home.php`","everly-gif","2022-05-26T14:49:10Z"
"Refactor `general.php`","everly-gif","2022-05-26T14:48:28Z"
"Refactor `mock.php`","everly-gif","2022-05-26T14:47:57Z"
"Feat: Implemented bulk document creation","Shadowfita","2022-05-26T09:51:06Z"
"refactor `database.php`","everly-gif","2022-05-25T13:56:36Z"
"refactor `users.php`","everly-gif","2022-05-25T13:55:08Z"
"Refactor `account.php`","everly-gif","2022-05-25T10:55:16Z"
"Added ""open in Gitpod"" in readme.md","arth2002","2022-05-24T19:14:57Z"
"fix small typo error dart","2002Bishwajeet","2022-05-24T08:02:53Z"
"Update service checks to ignore server app users","stnguyen90","2022-05-22T07:03:56Z"
"Fix: Zoom OAuth scopes","Meldiron","2022-05-20T11:56:11Z"
"fix: escape order attribute names","jkklapp","2022-05-20T10:45:19Z"
"fix: empty build logs","christyjacob4","2022-05-19T23:45:36Z"
"Add Rust to Platforms.php","PineappleIOnic","2022-05-18T13:38:05Z"
"Refactor `functions.php`","everly-gif","2022-05-13T12:08:18Z"
"Refactor s3 adapter calls","shimonewman","2022-05-08T16:24:35Z"
"Added webm to video mime type","chuongtang","2022-05-05T19:53:57Z"
"feat: Add authentik as a OAuth provider","Aragur","2022-05-05T13:12:56Z"
"Fix: Default values","Meldiron","2022-05-01T08:55:24Z"
"Check and truncate stdout/stderr to max attribute size","abnegate","2022-04-28T09:14:35Z"
"POC locale logic abstraction","abnegate","2022-04-27T03:41:43Z"
"Update getting started docs for swift async/await","abnegate","2022-04-19T05:34:05Z"
"docs: update the Code of Conduct to the latest version","Panquesito7","2022-04-13T19:08:57Z"
